repo_id,owner,name,full_name,description,main_language,stars_count,forks_count,open_issues_count,topics,topics_count,has_license,is_fork,is_template,repo_age_days,last_activity_days,watchers_count,network_count,contributors_count,readme_length,has_ci_cd,releases_count,closed_prs_count,weekly_commit_freq,has_tests,language_count,collected_at,category,source,stars_per_fork_ratio,commit_density,pr_velocity,issue_pr_ratio,readme_density,activity_score,complexity_score,maturity_score,log_stars_count,log_forks_count,log_contributors_count,log_closed_prs_count,log_readme_length,log_releases_count,log_watchers_count,log_weekly_commit_freq,label,text_summary
10361,user_49148,open-bot-11,user_49148/open-bot-11,Cross-platform build system,C#,9412,1748,53,"['topic0', 'topic1', 'topic2', 'topic3', 'topic4', 'topic5', 'topic6', 'topic7', 'topic8']",9,1,0,0,3749,1,2578,1524,29,25694,1,300,4185,50.45,1,6,2026-05-26T07:28:14.337315,lead_architect,synthetic,5.381360777587193,0.0941984527448948,33.48893011345215,0.0126612517916865,6.853560947758453,4.083810444145445,3.936335283437314,5.455523802759394,9.14984699154722,7.466799475018602,3.4011973816621555,8.339500903005945,10.15405169942633,5.707110264748875,7.855157005881344,3.940610462280058,4,"Repository: open-bot-11
Description: Cross-platform build system
Language: C# (6 languages total)
Popularity: 9412 stars, 1748 forks
Team: 29 contributors
Activity: very high commit activity (50.5 commits/week), updated within the past week
Infrastructure: has CI/CD workflows, includes automated tests, licensed
Collaboration: 53 open issues, 4185 closed PRs
Maturity: 300 releases, 25694-char README, 9 topics
Age: long-running project (3749 days old)"
10073,user_10862,homework-app-73,user_10862/homework-app-73,CS homework assignment,JavaScript,6,2,1,"['topic0', 'topic1']",2,0,0,0,189,393,1,2,2,170,0,0,2,0.45,0,1,2026-05-26T07:28:14.324213,intern_level,synthetic,2.0,0.0166666660493827,0.3174602670697989,0.3333333333333333,0.8994708947117942,0.7534273354699772,0.6638351019780901,1.5437803443327467,1.9459101490553128,1.0986122886681098,1.0986122886681098,1.0986122886681098,5.14166355650266,0.0,0.6931471805599453,0.371563556432483,0,"Repository: homework-app-73
Description: CS homework assignment
Language: JavaScript (1 language total)
Popularity: 6 stars, 2 forks
Team: 2 contributors
Activity: low or sporadic commits (0.5 commits/week), last updated 393 days ago (possibly inactive)
Infrastructure: no CI/CD setup, no tests found, no license
Collaboration: 1 open issue, 2 closed PRs
Maturity: 0 releases, 170-char README, 2 topics
Age: established project (189 days old)"
10374,user_51723,open-bot-24,user_51723/open-bot-24,Open-source orchestration framework,Ruby,31640,7888,981,"['topic0', 'topic1', 'topic2', 'topic3', 'topic4', 'topic5', 'topic6', 'topic7', 'topic8', 'topic9', 'topic10', 'topic11', 'topic12', 'topic13', 'topic14', 'topic15', 'topic16', 'topic17']",18,1,0,0,3170,10,6958,8046,91,19266,1,57,1625,78.31,1,11,2026-05-26T07:28:14.338014,lead_architect,synthetic,4.010647737355812,0.1729242898389684,15.378548750360736,0.6033210332103321,6.077602521742081,3.927943099857328,4.211955401233168,5.183671859300764,10.362209026944724,8.97322466309509,4.5217885770490405,7.3938782901077555,9.86614906688076,4.060443010546419,8.84779106484485,4.373364224095228,4,"Repository: open-bot-24
Description: Open-source orchestration framework
Language: Ruby (11 languages total)
Popularity: 31640 stars, 7888 forks
Team: 91 contributors
Activity: very high commit activity (78.3 commits/week), updated within the past month
Infrastructure: has CI/CD workflows, includes automated tests, licensed
Collaboration: 981 open issues, 1625 closed PRs
Maturity: 57 releases, 19266-char README, 18 topics
Age: long-running project (3170 days old)"
10155,user_93801,basic-service-80,user_93801/basic-service-80,Portfolio website backend,Python,0,2,1,"['topic0', 'topic1']",2,0,0,0,641,341,0,1,3,191,1,1,7,1.43,0,2,2026-05-26T07:28:14.327904,junior_level,synthetic,0.0,0.0156162244784499,0.3276130891912751,0.125,0.2979719184119003,1.214168624548038,0.6505456673639645,2.194008995465921,0.0,1.0986122886681098,1.3862943611198906,2.079441541679836,5.2574953720277815,0.6931471805599453,0.0,0.8878912573524571,1,"Repository: basic-service-80
Description: Portfolio website backend
Language: Python (2 languages total)
Popularity: 0 stars, 2 forks
Team: 3 contributors
Activity: moderate commit activity (1.4 commits/week), last updated 341 days ago (possibly inactive)
Infrastructure: has CI/CD workflows, no tests found, no license
Collaboration: 1 open issue, 7 closed PRs
Maturity: 1 release, 191-char README, 2 topics
Age: established project (641 days old)"
10104,user_24053,simple-system-29,user_24053/simple-system-29,Basic e-commerce backend,Java,3,5,2,"['topic0', 'topic1']",2,0,0,0,308,352,0,5,2,2494,0,1,5,5.59,0,1,2026-05-26T07:28:14.325613,junior_level,synthetic,0.5,0.1270454516580579,0.4870129395766617,0.3333333333333333,8.09740257111233,1.424710010317167,0.6558840214749974,1.9183026575041768,1.3862943611198906,1.791759469228055,1.0986122886681098,1.791759469228055,7.822044008185619,0.6931471805599453,0.0,1.885553348514416,1,"Repository: simple-system-29
Description: Basic e-commerce backend
Language: Java (1 language total)
Popularity: 3 stars, 5 forks
Team: 2 contributors
Activity: regular commit activity (5.6 commits/week), last updated 352 days ago (possibly inactive)
Infrastructure: no CI/CD setup, no tests found, no license
Collaboration: 2 open issues, 5 closed PRs
Maturity: 1 release, 2494-char README, 2 topics
Age: established project (308 days old)"
10394,user_85076,api-44,user_85076/api-44,Cross-platform build system,Python,6577,2078,292,"['topic0', 'topic1', 'topic2', 'topic3', 'topic4', 'topic5', 'topic6', 'topic7', 'topic8', 'topic9', 'topic10', 'topic11', 'topic12', 'topic13']",14,1,0,0,4795,10,1246,1999,35,20096,0,290,5207,95.37,1,3,2026-05-26T07:28:14.339034,lead_architect,synthetic,3.1635401635401634,0.1392262771690127,32.57768488481115,0.0560675883256528,4.191032324464852,4.335614185721913,3.705175430039552,5.587242128055489,8.791486026749002,7.639642287858013,3.58351893845611,8.557951183888406,9.908325829176375,5.673323267171493,7.1284959456800365,4.568194949863196,4,"Repository: api-44
Description: Cross-platform build system
Language: Python (3 languages total)
Popularity: 6577 stars, 2078 forks
Team: 35 contributors
Activity: very high commit activity (95.4 commits/week), updated within the past month
Infrastructure: no CI/CD setup, includes automated tests, licensed
Collaboration: 292 open issues, 5207 closed PRs
Maturity: 290 releases, 20096-char README, 14 topics
Age: long-running project (4795 days old)"
10377,user_12506,platform-tool-27,user_12506/platform-tool-27,Distributed database engine,C#,49625,12836,605,"['topic0', 'topic1', 'topic2', 'topic3', 'topic4', 'topic5', 'topic6']",7,1,0,0,4158,1,14424,10641,198,25805,1,97,4054,41.1,1,5,2026-05-26T07:28:14.338211,lead_architect,synthetic,3.8657786087092,0.0691919190754344,29.249639038602893,0.1491985203452527,6.206108704616135,4.0141031467309976,4.573525361765702,5.718466883173723,10.812270168919962,9.460086905084928,5.293304824724492,8.307705966549513,10.158362302011792,4.584967478670572,9.5767180913763,3.740047740688336,4,"Repository: platform-tool-27
Description: Distributed database engine
Language: C# (5 languages total)
Popularity: 49625 stars, 12836 forks
Team: 198 contributors
Activity: very high commit activity (41.1 commits/week), updated within the past week
Infrastructure: has CI/CD workflows, includes automated tests, licensed
Collaboration: 605 open issues, 4054 closed PRs
Maturity: 97 releases, 25805-char README, 7 topics
Age: long-running project (4158 days old)"
10124,user_50692,demo-project-49,user_50692/demo-project-49,Weather app using public APIs,Rust,4,4,4,"['topic0', 'topic1']",2,1,0,0,202,173,0,3,2,2070,0,1,4,1.83,1,1,2026-05-26T07:28:14.326534,junior_level,synthetic,0.8,0.0634158393865798,0.5940593177139627,0.8,10.247524701744927,1.156341366045057,0.9005127317378394,1.947811286574194,1.6094379124341005,1.6094379124341005,1.0986122886681098,1.6094379124341005,7.635786861395585,0.6931471805599453,0.0,1.0402767116551463,1,"Repository: demo-project-49
Description: Weather app using public APIs
Language: Rust (1 language total)
Popularity: 4 stars, 4 forks
Team: 2 contributors
Activity: moderate commit activity (1.8 commits/week), updated within 6 months
Infrastructure: no CI/CD setup, includes automated tests, licensed
Collaboration: 4 open issues, 4 closed PRs
Maturity: 1 release, 2070-char README, 2 topics
Age: established project (202 days old)"
10068,user_37930,homework-tool-68,user_37930/homework-tool-68,Todo list app practice,Go,4,3,2,"['topic0', 'topic1']",2,0,0,0,316,127,0,2,2,226,0,1,2,2.75,0,1,2026-05-26T07:28:14.323986,intern_level,synthetic,1.0,0.0609177201695441,0.1898733996955633,0.6666666666666666,0.7151898711544624,1.0977938276698225,0.7005127317378393,1.7847853207880946,1.6094379124341005,1.3862943611198906,1.0986122886681098,1.0986122886681098,5.424950017481403,0.6931471805599453,0.0,1.3217558399823195,0,"Repository: homework-tool-68
Description: Todo list app practice
Language: Go (1 language total)
Popularity: 4 stars, 3 forks
Team: 2 contributors
Activity: moderate commit activity (2.8 commits/week), updated within 6 months
Infrastructure: no CI/CD setup, no tests found, no license
Collaboration: 2 open issues, 2 closed PRs
Maturity: 1 release, 226-char README, 2 topics
Age: established project (316 days old)"
10450,user_96829,untitled-project-0,user_96829/untitled-project-0,WIP project (abandoned),TypeScript,2,0,3,"['topic0', 'topic1']",2,0,1,0,2606,292,0,0,1,149,0,1,1,0.91,0,1,2026-05-26T07:28:14.341939,low_value,synthetic,2.0,0.0024443591645777,0.0115118954929559,1.5,0.0571757482512756,0.7369692182013756,0.4969813299576001,2.023736750150665,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,5.010635294096256,0.6931471805599453,0.0,0.6471032420585384,6,"Repository: untitled-project-0 (forked repository)
Description: WIP project (abandoned)
Language: TypeScript (1 language total)
Popularity: 2 stars, 0 forks
Team: 1 contributor
Activity: low or sporadic commits (0.9 commits/week), last updated 292 days ago (possibly inactive)
Infrastructure: no CI/CD setup, no tests found, no license
Collaboration: 3 open issues, 1 closed PR
Maturity: 1 release, 149-char README, 2 topics
Age: long-running project (2606 days old)"
